Time (ms),Trajectory 1
4617,0.00181342948538562
4633,0.00214080198202282
4650,0.00218051058861117
4667,0.00196254684124142
4683,0.00159012662091603
4700,0.00120944221271202
4717,0.000950857919330398
4733,0.000861315367122491
4750,0.000867859945477297
4767,0.000808240418943266
4783,0.000521656831551809
4800,-4.96774761510702E-05
4817,-0.000806850141088944
4833,-0.0015177100043123
4850,-0.00192085195643206
4867,-0.00187104629973571
4883,-0.00141969907175129
4900,-0.000753347501207221
4917,-5.32194887152097E-05
4933,0.000582075084821554
4950,0.00110102885325129
4967,0.001438510332567
4983,0.00152146661033233
5000,0.00133518422565733
5017,0.000970178827022513
5033,0.000586901577965667
5050,0.000323215111469229
5067,0.000225317460717633
5083,0.000239852049465602
5100,0.000239777543659632
5117,7.46414007153362E-05
5133,-0.000338552859223758
5150,-0.0009225173756325
5167,-0.00142815546132624
5183,-0.00155325373634696
5200,-0.00113937553639213
5217,-0.000297619437333196
5233,0.000648480587794135
5250,0.00135737942764536
5267,0.00164259357067446
5283,0.00151362553394089
5300,0.00111174127475048
5317,0.000618320671492256
5333,0.000177311895337577
5350,-0.000164632481755689
5367,-0.000495815227623098
5383,-0.000994066804802666
5400,-0.00175650411983952
5417,-0.0026163129756848
5433,-0.00313691779350241
5450,-0.00285593396984041
5467,-0.00163279460199798
5483,0.000185455409033845
5500,0.0019420101113307
5517,0.00305943167768419
5533,0.00333387676316003
5550,0.00293560900414983
5567,0.00219328096136451
5583,0.00137740070931613
5600,0.000617863222335776
5617,-6.77511173610886E-05
5633,-0.000739362828123073
5650,-0.00150193712518861
5667,-0.00240029231645167
5683,-0.00327253473612169
5700,-0.00371733137095968
5717,-0.0032969368621707
5733,-0.00189469143030389
5750,9.03933784381176E-05
5767,0.00195370745010829
5783,0.00313158457477887
5800,0.00346966654372712
5817,0.00313823499406377
5833,0.00240705887942264
5850,0.00150956205713252
5867,0.000597941834712401
5883,-0.000280290812952444
5900,-0.00117008823629779
5917,-0.00211363860095541
5933,-0.00301956059411168
5950,-0.003628356459861
5967,-0.00365346196728448
5983,-0.00301455236816158
6000,-0.00194246607134119
6017,-0.000824908861735215
6033,6.69687675933043E-05
6050,0.000697925628628582
6067,0.00114997912896797
6083,0.00146328646223992
6100,0.00162040430586785
6117,0.00162576274791112
6133,0.0015436081836621
6150,0.00145758975607653
6167,0.00141583825461566
6183,0.00141307261462013
6200,0.00139700322567175
6217,0.0012763455354919
6233,0.000937566151454424
6250,0.000295385708644365
6267,-0.000619988083296145
6283,-0.00159585619500528
6300,-0.00227006517040233
6317,-0.00229835355033477
6333,-0.00158423027217699
6350,-0.000384952106590693
6367,0.000832475634524599
6383,0.00167821483531346
6400,0.00202551616045336
6417,0.00197478965856135
6433,0.00169987072392056
6450,0.00133089119723688
6467,0.000923956899593274
6483,0.000483366808111896
6500,-1.41560916138891E-05
6517,-0.000597169960504592
6533,-0.00125113271254425
6550,-0.00186548673082143
6567,-0.00224313578413179
6583,-0.00220401278541734
6600,-0.00172452172652508
6617,-0.000982516944835273
6633,-0.000239297742761361
6650,0.000336240186394813
6667,0.000728192855603993
6683,0.000991021011335154
6700,0.00115692312829196
6717,0.00122349705391874
6733,0.00118309255534162
6750,0.00104396336246282
6767,0.000842194189317524
6783,0.000639884121483192
6800,0.00049130316862526
6817,0.000386740236232678
6833,0.0002202138142214
6850,-0.000164967756669891
6867,-0.000851017169528253
6883,-0.00172865978674963
6900,-0.00249724520836025
6917,-0.00281445224148532
6933,-0.00250769841174285
6950,-0.00168476548666755
6967,-0.000654047694600498
6983,0.000272841745754704
7000,0.000933156901737675
7017,0.00132656986049066
7033,0.00153664786679049
7050,0.00164224486798048
7067,0.00166136903377871
7083,0.00155797740444541
7100,0.00131184006265054
7117,0.000981798764163007
7133,0.00068268624211972
7150,0.000486363453092054
7167,0.000344039474536354
7183,0.000112889693506683
7200,-0.0003256529259185
7217,-0.000947442584826301
7233,-0.00155868668419619
7250,-0.00189553934615105
7267,-0.00179189435827235
7283,-0.00128232385031879
7300,-0.000558054443293562
7317,0.000165748584549874
7333,0.000746391655411571
7350,0.00112305577689161
7367,0.00128738283334921
7383,0.00126005111572643
7400,0.00107903027674183
7417,0.00080306075202922
7433,0.000518581228485952
7450,0.000323599553667009
7467,0.000288067734800279
7483,0.000413867819588631
7500,0.000611166624973218
7517,0.00070317832675452
7533,0.000478582057742945
7550,-0.000195327361628491
7567,-0.0012398272046994
7583,-0.0023329733327652
7600,-0.00306018418632448
7617,-0.00315626539910833
7633,-0.00264669787914803
7650,-0.00178374641109258
7667,-0.000857223516504746
7683,-4.23505674310339E-05
7700,0.000623808792928079
7717,0.00116252297690759
7733,0.00157022464554757
7750,0.00180731399450451
7767,0.00184585138534506
7783,0.00171141012106091
7800,0.00147547708669056
